Prompt
"{""task"": ""Generate - **Classical Mechanics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Fluid Dynamics."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""French"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Classical Mechanics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Thermodynamics."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Portuguese"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Classical Mechanics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Wave Theory.."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Spanish"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Quantum Mechanics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Particle Physics."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Arabic"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Quantum Mechanics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Quantum Field Theory."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""English"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Quantum Mechanics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Quantum Computing."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""English"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Quantum Mechanics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Quantum Entanglement.."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Hindi"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Relativity Questions"", ""description"": ""Create a set of questions with solutions in the domain of General Relativity."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Chinese (Mandarin)"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Relativity Questions"", ""description"": ""Create a set of questions with solutions in the domain of Special Relativity."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Hindi"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Relativity Questions"", ""description"": ""Create a set of questions with solutions in the domain of Black Hole Physics."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""English"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Relativity Questions"", ""description"": ""Create a set of questions with solutions in the domain of Cosmology.."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Chinese (Mandarin)"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
